id,market,sector,ticker,first_price_date,last_price_date,price_observations,return_observations,annualized_return,annualized_volatility,min_daily_return,max_daily_return
US_INTERNET,US,Internet,FDN,2019-07-05,2026-07-02,1758,1699,0.10070059424072321,0.28189829419677315,-0.1269911575035724,0.10268583473788087
US_SEMICONDUCTOR,US,Semiconductor,SMH,2019-07-05,2026-07-02,1758,1699,0.3705747828247765,0.3660627262667969,-0.15562040028110286,0.1583731554998336
US_NEW_ENERGY,US,New Energy,QCLN,2019-07-05,2026-07-02,1758,1699,0.17463079967403378,0.40445833171750434,-0.13905635270406508,0.13635330961567296
US_HEALTHCARE,US,Healthcare,XLV,2019-07-05,2026-07-02,1758,1699,0.11700718482453491,0.17828517930850218,-0.10381742839087747,0.07423246795447141
US_FINANCIALS,US,Financials,XLF,2019-07-05,2026-07-02,1758,1699,0.14334619143773472,0.24320714547107147,-0.14744908476353555,0.12360271809211952
US_REAL_ESTATE_CHAIN,US,Real Estate Chain,XHB,2019-07-05,2026-07-02,1758,1699,0.19746390848134676,0.3111422480815628,-0.20316784878007124,0.1436939532486092
US_ENERGY,US,Energy,XLE,2019-07-05,2026-07-02,1758,1699,0.1491528093146932,0.3360255772876382,-0.22490939993171888,0.1487416182191908
US_MATERIALS,US,Materials,XLB,2019-07-05,2026-07-02,1758,1699,0.13045495609797875,0.22723214342464848,-0.11662827788008073,0.11118459699919987
US_INDUSTRIALS,US,Industrials,XLI,2019-07-05,2026-07-02,1758,1699,0.16944036825660513,0.21989208419091477,-0.12040805739248073,0.11912633071816217
US_UTILITIES,US,Utilities,XLU,2019-07-05,2026-07-02,1758,1699,0.11013977482737604,0.21422381672590637,-0.12056152986906925,0.12038789903810547
CN_INTERNET,CN,Internet,513050.SS,2019-07-04,2026-07-02,1696,1655,-0.05038684592285851,0.30053773779704707,-0.08845540196788307,0.09583553987480008
CN_SEMICONDUCTOR,CN,Semiconductor,512760.SS,2019-07-04,2026-07-02,1695,1653,0.11957605422734988,0.452413660433554,-0.6881221090782614,0.09564396184722124
CN_NEW_ENERGY,CN,New Energy,515030.SS,2020-02-20,2026-07-02,1538,1497,0.07754722452669245,0.33227223498409697,-0.08399341473310021,0.09547724610484623
CN_HEALTHCARE,CN,Healthcare,512010.SS,2019-07-04,2026-07-02,1695,1653,-0.014766643918520074,0.2564089004258044,-0.09303487496219535,0.0957252045211479
CN_FINANCIALS,CN,Financials,510230.SS,2019-07-04,2026-07-02,1695,1653,0.026577765683436845,0.19265374378966316,-0.10528437131729941,0.09546069104663317
CN_REAL_ESTATE_CHAIN,CN,Real Estate Chain,512200.SS,2019-07-04,2026-07-02,1695,1653,0.07319433795981603,0.7359316666363713,-1.0133474260207995,1.0152983987022965
CN_ENERGY,CN,Energy,159945.SZ,2019-07-04,2026-07-02,1695,1653,0.06359581306201384,0.2525490880687224,-0.09863058055074458,0.08701139419154777
CN_MATERIALS,CN,Materials,512400.SS,2019-07-04,2026-07-02,1695,1653,0.11873799345458208,0.32465733517403506,-0.10540800569847547,0.0888018961826669
CN_INDUSTRIALS,CN,Industrials,512660.SS,2019-07-04,2026-07-02,1695,1653,0.05267514951631874,0.302641258630887,-0.08043913467514424,0.09541020736131182
CN_UTILITIES,CN,Utilities,159611.SZ,2021-12-29,2026-07-02,1086,1056,-0.02469442000034442,0.19571332729953836,-0.07350249040260681,0.05282067485568723
