signal_type,source_id,target_id,source_regime,target_regime,source_percentile,target_percentile,relation_metric,score,source_latest_return,target_latest_return,interpretation
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_INDUSTRIALS,lower_tail,middle,0.004839685420447671,0.0780399274047187,0.3871748336358137,0.3496987456855837,-0.09054116924332353,-0.025158516601587935,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_NEW_ENERGY,lower_tail,middle,0.004839685420447671,0.3760855043420174,0.30728122912491646,0.2775383394334545,-0.09054116924332353,-0.007144199315680492,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_MATERIALS,lower_tail,middle,0.004839685420447671,0.7374470659407139,0.2540834845735027,0.22948980185616427,-0.09054116924332353,0.01684316225800319,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_HEALTHCARE,lower_tail,middle,0.004839685420447671,0.3702359346642468,0.22988505747126436,0.2076336302508153,-0.09054116924332353,-0.007534571846172407,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_INTERNET,lower_tail,middle,0.004839685420447671,0.6882175226586102,0.22988505747126436,0.2076336302508153,-0.09054116924332353,0.00874686429769191,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_UTILITIES,lower_tail,middle,0.004839685420447671,0.22916666666666666,0.22727272727272727,0.2052741571797833,-0.09054116924332353,-0.009587792169175942,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_REAL_ESTATE_CHAIN,lower_tail,middle,0.004839685420447671,0.09860859044162129,0.20568663036902599,0.1857774586454663,-0.09054116924332353,-0.018318542668446222,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_FINANCIALS,lower_tail,middle,0.004839685420447671,0.45251058681185724,0.19358741681790684,0.17484937284279184,-0.09054116924332353,-0.0016839671720996114,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,CN_ENERGY,lower_tail,middle,0.004839685420447671,0.6158499697519662,0.1451905626134301,0.13113702963209387,-0.09054116924332353,0.0041963932312076265,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_SEMICONDUCTOR,lower_tail,middle,0.004839685420447671,0.09299587992937022,0.142949967511371,0.129113310039006,-0.09054116924332353,-0.04646483113198573,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_INTERNET,lower_tail,middle,0.004839685420447671,0.22424955856386108,0.10396361273554255,0.0939005891192771,-0.09054116924332353,-0.009466411702980721,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_NEW_ENERGY,lower_tail,middle,0.004839685420447671,0.07474985285462037,0.10396361273554255,0.0939005891192771,-0.09054116924332353,-0.050711230647060665,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_FINANCIALS,lower_tail,middle,0.004839685420447671,0.9064155385520895,0.10396361273554255,0.0939005891192771,-0.09054116924332353,0.015217688050826137,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_ENERGY,lower_tail,middle,0.004839685420447671,0.7027663331371395,0.09096816114359974,0.08216301547936745,-0.09054116924332353,0.00773369576325143,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_UTILITIES,lower_tail,upper_tail,0.004839685420447671,0.9841082989994114,0.09096816114359974,0.08216301547936745,-0.09054116924332353,0.021872027914100162,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_REAL_ESTATE_CHAIN,lower_tail,middle,0.004839685420447671,0.468510888758093,0.07797270955165692,0.07042544183945781,-0.09054116924332353,-0.0006216945574089584,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_MATERIALS,lower_tail,upper_tail,0.004839685420447671,0.9593878752207181,0.07797270955165692,0.07042544183945781,-0.09054116924332353,0.019218253827073987,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_INDUSTRIALS,lower_tail,middle,0.004839685420447671,0.5615067686874632,0.07797270955165692,0.07042544183945781,-0.09054116924332353,0.002995090568316239,possible_downside_spillover
lower_tail_contagion_watch,CN_SEMICONDUCTOR,US_HEALTHCARE,lower_tail,upper_tail,0.004839685420447671,0.9788110653325486,0.0649772579597141,0.05868786819954818,-0.09054116924332353,0.025985205096065462,possible_downside_spillover
