left_id,right_id,left_market,right_market,left_sector,right_sector,left_ticker,right_ticker,same_sector,cross_market,observations,pearson,spearman,tail_alpha,lower_left_tail_count,lower_right_tail_count,lower_both_tail_count,lower_both_tail_probability,lower_tail_dependence,lower_co_crash_lift_vs_independence,lower_right_given_left_tail,lower_left_given_right_tail,lower_tail_union_pearson,lower_avg_left_return_when_both_tail,lower_avg_right_return_when_both_tail,upper_left_tail_count,upper_right_tail_count,upper_both_tail_count,upper_both_tail_probability,upper_tail_dependence,upper_co_rally_lift_vs_independence,upper_right_given_left_tail,upper_left_given_right_tail,upper_tail_union_pearson,upper_avg_left_return_when_both_tail,upper_avg_right_return_when_both_tail,middle_both_count,middle_both_probability,middle_pearson,middle_spearman
US_SEMICONDUCTOR,CN_SEMICONDUCTOR,US,CN,Semiconductor,Semiconductor,SMH,512760.SS,True,True,1539,0.13874351371093874,0.14451515424754763,0.05,76,76,11,0.007147498375568551,0.142949967511371,2.85899935022742,0.14473684210526316,0.14473684210526316,-0.2929944831703491,-2.599643373556257,-2.149194690432474,77,77,7,0.004548408057179987,0.09096816114359974,1.8193632228719943,0.09090909090909091,0.09090909090909091,-0.6309515110422571,2.1246171092973616,1.9650545669550417,1255,0.815464587394412,0.07966720233771714,0.0863430925674075
US_NEW_ENERGY,CN_NEW_ENERGY,US,CN,New Energy,New Energy,QCLN,515030.SS,True,True,1394,0.1808424041145745,0.18419780407369113,0.05,69,69,8,0.005738880918220947,0.11477761836441894,2.2955523672883786,0.11594202898550725,0.11594202898550725,-0.4556906640785328,-2.4381085928661106,-2.563086403443328,70,70,8,0.005738880918220947,0.11477761836441894,2.2955523672883786,0.11428571428571428,0.11428571428571428,-0.6205136917978149,2.096992513405503,2.157406161231696,1141,0.8185078909612625,0.16669902238926945,0.173389309014373
US_FINANCIALS,CN_FINANCIALS,US,CN,Financials,Financials,XLF,510230.SS,True,True,1539,0.10186397885212534,0.10990062011894877,0.05,76,76,8,0.005198180636777128,0.10396361273554255,2.0792722547108506,0.10526315789473684,0.10526315789473684,-0.6478381388289183,-2.2076873824423497,-1.8978179080635234,77,77,6,0.003898635477582846,0.07797270955165692,1.559454191033138,0.07792207792207792,0.07792207792207792,-0.6737755849856294,2.2927518164074203,2.185194037434893,1250,0.8122157244964262,0.07452835184064735,0.07005163190504443
US_ENERGY,CN_ENERGY,US,CN,Energy,Energy,XLE,159945.SZ,True,True,1539,0.12018035699285139,0.10690837640396192,0.05,76,76,8,0.005198180636777128,0.10396361273554255,2.0792722547108506,0.10526315789473684,0.10526315789473684,-0.5347025312158833,-2.5682082214610245,-2.3628482218171403,77,77,7,0.004548408057179987,0.09096816114359974,1.8193632228719943,0.09090909090909091,0.09090909090909091,-0.603655794184075,1.8632574441896128,2.4028763948534015,1252,0.8135152696556205,0.08516154816700221,0.08469623180567404
US_INTERNET,CN_INTERNET,US,CN,Internet,Internet,FDN,513050.SS,True,True,1541,0.11778886157787541,0.1222079473159549,0.05,77,77,8,0.005191434133679429,0.10382868267358857,2.076573653471771,0.1038961038961039,0.1038961038961039,-0.6187206699873845,-2.3893706398349703,-1.9504970465252875,78,78,8,0.005191434133679429,0.10382868267358857,2.076573653471771,0.10256410256410256,0.10256410256410256,-0.6687490048175269,1.8590751697020838,2.1779955463733716,1252,0.8124594419208306,0.10874815783795999,0.10427674372948446
US_UTILITIES,CN_UTILITIES,US,CN,Utilities,Utilities,XLU,159611.SZ,True,True,978,-0.014468135517484184,-0.0390847337961917,0.05,48,48,5,0.005112474437627812,0.10224948875255624,2.0449897750511243,0.10416666666666667,0.10416666666666667,-0.6863674247566188,-1.9418565280572675,-2.4001928576051705,49,49,3,0.003067484662576687,0.06134969325153374,1.2269938650306746,0.061224489795918366,0.061224489795918366,-0.6358098725369161,2.0596023376509547,2.1397388711460135,797,0.8149284253578732,-0.03348574398910371,-0.04624679040905986
US_MATERIALS,CN_MATERIALS,US,CN,Materials,Materials,XLB,512400.SS,True,True,1539,0.1614593813279318,0.15169777104620716,0.05,76,76,6,0.003898635477582846,0.07797270955165692,1.559454191033138,0.07894736842105263,0.07894736842105263,-0.6398238473130722,-2.3593784383552996,-1.9405159335728979,77,77,12,0.007797270955165692,0.15594541910331383,3.118908382066276,0.15584415584415584,0.15584415584415584,-0.5447254604906823,2.1348043767947344,2.193169748805785,1255,0.815464587394412,0.07642967892895827,0.07881939465494618
US_HEALTHCARE,CN_HEALTHCARE,US,CN,Healthcare,Healthcare,XLV,512010.SS,True,True,1539,0.02632323004938832,0.023151651705481016,0.05,76,76,5,0.003248862897985705,0.0649772579597141,1.2995451591942817,0.06578947368421052,0.06578947368421052,-0.6336642450529447,-2.2456275923223648,-1.8037260146917942,77,77,5,0.003248862897985705,0.0649772579597141,1.2995451591942817,0.06493506493506493,0.06493506493506493,-0.6913322798192827,2.10053031175011,2.154944575515673,1250,0.8122157244964262,-0.012060469034701015,-0.014325712848456225
US_REAL_ESTATE_CHAIN,CN_REAL_ESTATE_CHAIN,US,CN,Real Estate Chain,Real Estate Chain,XHB,512200.SS,True,True,1539,-0.005024925582266551,0.03419508169354176,0.05,76,76,5,0.003248862897985705,0.0649772579597141,1.2995451591942817,0.06578947368421052,0.06578947368421052,-0.6591576512340305,-2.9148303061171634,-1.1423998993182523,77,77,10,0.00649772579597141,0.1299545159194282,2.5990903183885634,0.12987012987012986,0.12987012987012986,-0.3217436926964676,2.1497452863315565,1.3330106453140351,1257,0.8167641325536062,0.009216246251250641,0.012571322868726724
US_INDUSTRIALS,CN_INDUSTRIALS,US,CN,Industrials,Industrials,XLI,512660.SS,True,True,1539,0.10205052866447142,0.09385420902086429,0.05,76,76,5,0.003248862897985705,0.0649772579597141,1.2995451591942817,0.06578947368421052,0.06578947368421052,-0.6681406065806557,-2.3849052808772644,-2.351966960123368,77,77,6,0.003898635477582846,0.07797270955165692,1.559454191033138,0.07792207792207792,0.07792207792207792,-0.588648716899404,2.249465152277899,2.6415495113000635,1251,0.8128654970760234,0.036137898937756985,0.030748976793006495
