date,US_INTERNET,US_SEMICONDUCTOR,US_NEW_ENERGY,US_HEALTHCARE,US_FINANCIALS,US_REAL_ESTATE_CHAIN,US_ENERGY,US_MATERIALS,US_INDUSTRIALS,US_UTILITIES,CN_INTERNET,CN_SEMICONDUCTOR,CN_NEW_ENERGY,CN_HEALTHCARE,CN_FINANCIALS,CN_REAL_ESTATE_CHAIN,CN_ENERGY,CN_MATERIALS,CN_INDUSTRIALS,CN_UTILITIES
2019-07-04,,,,,,,,,,,1.2339999675750732,0.5164999961853027,,0.4124999940395355,1.056724190711975,0.8989999890327454,0.6669999957084656,0.6490244269371033,0.7820000052452087,
2019-07-05,147.75999450683594,52.5583381652832,20.860754013061523,83.12367248535156,24.70608901977539,39.64423751831055,23.011367797851562,25.612903594970703,69.2856216430664,24.436790466308594,1.2350000143051147,0.5224999785423279,,0.4194999933242798,1.0590845346450806,0.8849999904632568,0.6600000262260437,0.6509822607040405,0.777999997138977,
2019-07-08,146.52000427246094,52.21659851074219,20.648195266723633,82.50300598144531,24.5832576751709,39.50286865234375,23.0441951751709,25.317312240600586,68.71351623535156,24.473031997680664,1.2130000591278076,0.49900001287460327,,0.4112499952316284,1.0380226373672485,0.8640000224113464,0.6579999923706055,0.6274881362915039,0.75,
2019-07-09,148.42999267578125,52.58208084106445,20.78345489501953,82.58279418945312,24.627124786376953,39.229610443115234,23.06243324279785,25.069522857666016,68.56155395507812,24.505247116088867,1.1990000009536743,0.5024999976158142,,0.4099999964237213,1.0327571630477905,0.8640000224113464,0.6660000085830688,0.6284670829772949,0.7519999742507935,
2019-07-10,149.4199981689453,53.10419464111328,20.831768035888672,82.86656188964844,24.53938865661621,39.389808654785156,23.357866287231445,25.01736068725586,68.40065002441406,24.56163215637207,1.2100000381469727,0.5084999799728394,,0.41225001215934753,1.0313047170639038,0.859000027179718,0.6589999794960022,0.6186779141426086,0.7480000257492065,
2019-07-11,149.6300048828125,53.25133514404297,20.561227798461914,82.88429260253906,24.67976951599121,39.34268569946289,23.40528106689453,25.126033782958984,68.86549377441406,24.569684982299805,1.2079999446868896,0.5024999976158142,,0.4117499887943268,1.0358439683914185,0.8569999933242798,0.6539999842643738,0.6294459700584412,0.7480000257492065,
2019-07-12,150.22999572753906,54.2291259765625,20.918733596801758,81.96217346191406,24.84646224975586,40.068275451660156,23.503768920898438,25.373817443847656,70.07225036621094,24.408594131469727,1.2039999961853027,0.5034999847412109,,0.4137499928474426,1.048008918762207,0.8640000224113464,0.6620000004768372,0.6245514154434204,0.746999979019165,
2019-07-15,150.49000549316406,54.665802001953125,20.938053131103516,82.13948822021484,24.70608901977539,40.02116394042969,23.29221534729004,25.39120864868164,69.78619384765625,24.505247116088867,1.2029999494552612,0.515999972820282,,0.4152500033378601,1.0512771606445312,0.8650000095367432,0.6570000052452087,0.6284670829772949,0.7649999856948853,
2019-07-16,149.52999877929688,54.10097122192383,20.99602508544922,81.73162841796875,24.64467430114746,40.35097885131836,23.0441951751709,25.452068328857422,70.2331314086914,24.36429786682129,1.215000033378601,0.5184999704360962,,0.4117499887943268,1.046374797821045,0.8730000257492065,0.6489999890327454,0.6294459700584412,0.7670000195503235,
2019-07-17,148.89999389648438,54.295570373535156,20.99602508544922,81.7493667602539,24.43411636352539,39.97404861450195,22.78158187866211,25.22601890563965,68.73140716552734,24.45692253112793,1.215000033378601,0.5304999947547913,,0.4112499952316284,1.0432881116867065,0.878000020980835,0.6480000019073486,0.6284670829772949,0.7670000195503235,
