left_id,right_id,left_market,right_market,left_sector,right_sector,left_ticker,right_ticker,same_sector,cross_market,observations,pearson,spearman,tail_alpha,lower_left_tail_count,lower_right_tail_count,lower_both_tail_count,lower_both_tail_probability,lower_tail_dependence,lower_co_crash_lift_vs_independence,lower_right_given_left_tail,lower_left_given_right_tail,lower_tail_union_pearson,lower_avg_left_return_when_both_tail,lower_avg_right_return_when_both_tail,upper_left_tail_count,upper_right_tail_count,upper_both_tail_count,upper_both_tail_probability,upper_tail_dependence,upper_co_rally_lift_vs_independence,upper_right_given_left_tail,upper_left_given_right_tail,upper_tail_union_pearson,upper_avg_left_return_when_both_tail,upper_avg_right_return_when_both_tail,middle_both_count,middle_both_probability,middle_pearson,middle_spearman
US_MATERIALS,US_INDUSTRIALS,US,US,Materials,Industrials,XLB,XLI,False,False,1699,0.8165658311877295,0.8037498698599896,0.05,84,84,49,0.028840494408475574,0.5768098881695114,11.536197763390227,0.5833333333333334,0.5833333333333334,0.3754169738499186,-2.4791803044787897,-2.543003867436724,85,85,43,0.025309005297233667,0.5061801059446733,10.123602118893466,0.5058823529411764,0.5058823529411764,-0.016381777216124657,2.1113184581497415,2.0584813266407256,1453,0.8552089464390819,0.7392012118887662,0.7388930244762449
US_FINANCIALS,US_INDUSTRIALS,US,US,Financials,Industrials,XLF,XLI,False,False,1699,0.7870676652239456,0.7685369302176724,0.05,84,84,46,0.02707474985285462,0.5414949970570924,10.829899941141845,0.5476190476190477,0.5476190476190477,0.21008133012472543,-2.435416253910303,-2.4645846272203387,85,85,41,0.02413184226015303,0.4826368452030606,9.65273690406121,0.4823529411764706,0.4823529411764706,0.1102154527071963,2.1829526215836954,2.148699062631906,1448,0.8522660388463802,0.6735491507327621,0.6755759897419373
US_FINANCIALS,US_MATERIALS,US,US,Financials,Materials,XLF,XLB,False,False,1699,0.7144875095916831,0.6972761215622088,0.05,84,84,44,0.025897586815773983,0.5179517363154796,10.359034726309591,0.5238095238095238,0.5238095238095238,0.11416184753052544,-2.43137043293456,-2.499136157832109,85,85,39,0.022954679223072396,0.4590935844614479,9.181871689228956,0.4588235294117647,0.4588235294117647,-0.12690351881669273,2.0340970367239413,2.1204986714734195,1444,0.849911712772219,0.6025763454749199,0.6073834514670715
US_INTERNET,US_SEMICONDUCTOR,US,US,Internet,Semiconductor,FDN,SMH,False,False,1699,0.7022982933453242,0.6795243170050388,0.05,84,84,43,0.025309005297233667,0.5061801059446733,10.123602118893466,0.5119047619047619,0.5119047619047619,0.035023890729816924,-2.5621770713383807,-2.4836317362746168,85,85,32,0.01883460859329017,0.3766921718658034,7.533843437316066,0.3764705882352941,0.3764705882352941,-0.19233868891692762,1.9878656811184108,2.0576054122182894,1436,0.8452030606238964,0.5867531417005962,0.5796844098452191
US_REAL_ESTATE_CHAIN,US_MATERIALS,US,US,Real Estate Chain,Materials,XHB,XLB,False,False,1699,0.7276523897612104,0.7213993901801211,0.05,84,84,40,0.023543260741612712,0.47086521483225424,9.417304296645083,0.47619047619047616,0.47619047619047616,0.015572712636497045,-2.4869797696547034,-2.387000921496679,85,85,34,0.020011771630370805,0.40023543260741606,8.00470865214832,0.4,0.4,-0.05651327105141414,2.338122189486811,2.1676935144669955,1435,0.8446144791053561,0.6326741586974022,0.6380791716932548
CN_NEW_ENERGY,CN_MATERIALS,CN,CN,New Energy,Materials,515030.SS,512400.SS,False,False,1497,0.6875033718334723,0.6808574918841631,0.05,74,74,35,0.02338009352037408,0.46760187040748163,9.35203740814963,0.47297297297297297,0.47297297297297297,0.0006699912980168692,-2.2439793565436603,-2.3610792985797495,75,75,29,0.019372077488309953,0.38744154976619904,7.74883099532398,0.38666666666666666,0.38666666666666666,-0.25157031640290534,2.466456444049824,2.316739012773118,1263,0.843687374749499,0.5617520354772151,0.5739953185937446
US_SEMICONDUCTOR,US_NEW_ENERGY,US,US,Semiconductor,New Energy,SMH,QCLN,False,False,1699,0.6867522561505895,0.6746195207691223,0.05,84,84,39,0.022954679223072396,0.4590935844614479,9.181871689228956,0.4642857142857143,0.4642857142857143,0.06022980206605188,-2.4402642402515284,-2.400289443354125,85,85,29,0.017068864037669218,0.34137728075338436,6.827545615067686,0.3411764705882353,0.3411764705882353,-0.27816987804801985,2.0678029525927197,2.2530702415989166,1430,0.8416715715126545,0.5844808038816794,0.5788623410631148
US_REAL_ESTATE_CHAIN,US_INDUSTRIALS,US,US,Real Estate Chain,Industrials,XHB,XLI,False,False,1699,0.7469566644125106,0.7548079622808678,0.05,84,84,38,0.022366097704532076,0.4473219540906415,8.946439081812828,0.4523809523809524,0.4523809523809524,0.051215356006388726,-2.49075326252041,-2.5263569059949247,85,85,36,0.02118893466745144,0.4237786933490288,8.475573866980575,0.4235294117647059,0.4235294117647059,-0.17740047211523666,2.2098365563308735,2.0719168658176823,1436,0.8452030606238964,0.6596816239958286,0.6696253163472545
US_INTERNET,US_NEW_ENERGY,US,US,Internet,New Energy,FDN,QCLN,False,False,1699,0.6306788996826324,0.6164481705097783,0.05,84,84,37,0.02177751618599176,0.4355503237198352,8.711006474396703,0.44047619047619047,0.44047619047619047,-0.07490761420096392,-2.569938704390554,-2.4099226135885297,85,85,25,0.014714537963507945,0.2942907592701589,5.885815185403177,0.29411764705882354,0.29411764705882354,-0.2926306737853064,2.034959963164886,2.2786921705593137,1424,0.8381400824014126,0.5556032757229076,0.550763402461795
US_INTERNET,US_MATERIALS,US,US,Internet,Materials,FDN,XLB,False,False,1699,0.4956580108332914,0.4611059655936116,0.05,84,84,36,0.02118893466745144,0.4237786933490288,8.475573866980575,0.42857142857142855,0.42857142857142855,-0.1441656863993112,-2.542070307023566,-2.516046856935892,85,85,20,0.011771630370806356,0.23543260741612712,4.708652148322542,0.23529411764705882,0.23529411764705882,-0.4111186570460033,2.119927501695397,2.074375320451213,1418,0.8346085932901707,0.36064254828320325,0.3641141763147744
